client_id,client_type,gender,country,region,date_of_birth,acquisition_purpose,loan_applied,referral_channel,satisfaction_score
C0001,Individual,Male,USA,North,1969-12-27,Investment,No,Advertisement,2
C0002,Individual,Male,Canada,Central,1997-11-07,Investment,Yes,Social Media,9
C0003,Individual,Male,Singapore,South,1997-08-20,Personal use,No,Agent,5
C0004,Individual,Male,India,West,1973-12-12,Personal use,Yes,Agent,10
C0005,Individual,Other,India,West,1983-09-24,Personal use,Yes,Agent,10
C0006,Individual,Male,Australia,South,1992-06-11,Personal use,No,Website,4
C0007,Individual,Female,USA,East,1969-01-22,Investment,Yes,Walk-in,5
C0008,Individual,Other,USA,South,1966-05-28,Investment,No,Agent,9
C0009,Individual,Male,USA,North,1979-09-14,Personal use,No,Referral,5
C0010,Individual,Other,UK,South,1965-12-08,Personal use,No,Referral,8
C0011,Individual,Other,Canada,East,1972-10-25,Investment,No,Referral,10
C0012,Individual,Male,Canada,West,1995-10-31,Personal use,Yes,Website,2
C0013,Individual,Female,Canada,North,1973-09-17,Personal use,Yes,Advertisement,8
C0014,Corporate,Male,Australia,North,1982-07-22,Personal use,No,Advertisement,5
C0015,Individual,Female,India,East,1990-07-08,Investment,No,Social Media,9
C0016,Corporate,Other,Canada,Central,1969-07-18,Investment,Yes,Agent,3
C0017,Individual,Male,UK,East,1960-01-19,Investment,Yes,Social Media,10
C0018,Individual,Male,Singapore,Central,1967-01-24,Investment,No,Social Media,8
C0019,Individual,Female,USA,Central,1974-10-24,Personal use,No,Walk-in,4
C0020,Individual,Female,UAE,Central,1987-12-19,Personal use,No,Social Media,4
C0021,Individual,Male,Canada,South,1965-09-29,Personal use,Yes,Walk-in,1
C0022,Individual,Female,India,Central,1980-07-15,Investment,Yes,Walk-in,8
C0023,Individual,Other,Canada,West,1979-03-22,Personal use,Yes,Referral,7
C0024,Individual,Female,UAE,West,1977-01-30,Personal use,No,Walk-in,1
C0025,Individual,Male,USA,South,1968-10-29,Personal use,Yes,Referral,3
C0026,Individual,Male,UAE,Central,1997-11-06,Investment,Yes,Walk-in,9
C0027,Corporate,Male,USA,West,1961-04-28,Personal use,No,Social Media,7
C0028,Individual,Female,UK,West,1965-04-05,Investment,Yes,Walk-in,9
C0029,Individual,Male,Canada,Central,2003-08-30,Investment,Yes,Agent,1
C0030,Individual,Other,USA,North,1964-07-01,Investment,No,Website,3
